Category,has_images,Correlation,P_Value,mean_helpful,std_helpful,count,se_helpful,ci95_helpful,cond_mean,cond_std,cond_count,cond_se,cond_ci95,conv_rate,conv_se,conv_ci95
All_Beauty,False,0.0908743200812328,0.0,0.7719695128411265,4.643427103438464,641844,0.005795940108877918,0.01136004261340072,3.0788407526160118,8.882066919693338,160932,0.022140775923142415,0.04339592080935913,25.073382317198572,0.05410160147678865,0.10603913889450575
All_Beauty,True,0.0908743200812328,0.0,2.5541016017693186,10.82099741179806,59684,0.04429333002777891,0.08681492685444667,5.750895989738559,15.661191704658304,26507,0.09619323195211878,0.1885387346261528,44.4122377856712,0.20338344587238522,0.3986315539098751
Appliances,False,0.06129637644801268,0.0,0.7723379081410962,10.486286712126942,2043656,0.007335299158163468,0.014377186350000399,4.291782114413589,24.41193238364283,367771,0.040254405586439876,0.07889863494942216,17.995739008913436,0.026871954873131407,0.05266903155133755
Appliances,True,0.06129637644801268,0.0,4.695052325512955,35.66314328126532,84949,0.12236028588306172,0.23982616033080098,9.76376410683248,50.94589524345454,40849,0.2520684457890493,0.4940541537465366,48.08649895819845,0.17142539520843714,0.3359937746085368
Digital_Music,False,0.03594437097701178,1.4764956233661455e-38,1.0247600314712824,3.459234379170461,127100,0.009703026404207412,0.019017931752246527,2.9734721366116474,5.378447857147575,43803,0.025698337871711826,0.050368742228555176,34.46341463414634,0.13330609009360336,0.2612799365834626
Digital_Music,True,0.03594437097701178,1.4764956233661455e-38,1.8185362927414517,4.292459301824351,3334,0.07434014235924169,0.14570667902411372,3.7014652014652016,5.526358037655941,1638,0.13654697063456836,0.267632062443754,49.13017396520696,0.8659376453309555,1.6972377848486726
Gift_Cards,False,0.029221229700021067,3.717449462334306e-30,0.7180424731396473,17.29723784579818,150966,0.04451815765798152,0.08725558900964378,5.128690386071158,45.98359833602129,21136,0.31629443642179444,0.6199370953867172,14.000503424612166,0.08930620708723358,0.17504016589097782
Gift_Cards,True,0.029221229700021067,3.717449462334306e-30,6.002077562326869,32.902626175786594,1444,0.8658585835733315,1.6970828238037297,12.506493506493506,46.64763406789055,693,1.771997089618351,3.473114295651968,47.99168975069252,1.315183122548651,2.577758920195356
Handmade_Products,False,0.07917473679682674,0.0,0.5132371499945618,3.653575409962067,579241,0.004800521601883298,0.009409022339691264,2.309284116331096,7.477576189928715,128736,0.02084062990721205,0.04084763461813562,22.224946093249613,0.054627489986654953,0.10706988037384371
Handmade_Products,True,0.07917473679682674,0.0,1.4927049846327765,6.448763360382789,84921,0.022129361879674292,0.04337354928416161,3.7858614819460623,9.83837584025182,33483,0.053766433315160345,0.10538220929771427,39.4284099339386,0.16770041066609973,0.32869280490555547
Magazine_Subscriptions,False,0.059286499001794245,1.0853403655481727e-56,4.35301297790249,29.64068686677976,71275,0.11102471074871603,0.21760843306748343,9.957667372745362,44.203904182956926,31158,0.25042393896706616,0.4908309203754497,43.715187653454926,0.18580021764448953,0.3641684265831995
Magazine_Subscriptions,True,0.059286499001794245,1.0853403655481727e-56,36.62162162162162,110.78073848407902,222,7.435116343467093,14.572828033195501,44.42622950819672,120.63801894894102,183,8.917818969287802,17.478925179804094,82.43243243243244,2.5598159281565365,5.017239219186812
Software,False,0.0005571277258555055,0.21841339683694885,4.9209252476069505,35.183933184388884,4872339,0.015939534666876774,0.031241487947078476,11.568296682857303,53.22805099607542,2072597,0.03697286726948513,0.07246681984819085,42.53802947619203,0.022398051420048276,0.04390018078329462
Software,True,0.0005571277258555055,0.21841339683694885,5.410099464422341,23.79905976125973,7842,0.268748705214466,0.5267474622203533,9.465863453815262,30.865790197036723,4482,0.4610430437545304,0.9036443657588796,57.153787299158374,0.5588470978044418,1.095340311696706
